,class,title
0,Sci/tech,News: Marine Corps deploys Fallujah biometric ID scheme
1,Business,Faster clearing comes with change on Thursday
2,Business,Further rate rises in balance as factories stall again
3,World,Nationals eye greater party room power
4,Sci/tech,Northrop Tapped to Design Jupiter Icy Moons Orbiter with JPL
5,Sci/tech,Sun's fighting chance
6,Sci/tech,Internet bigwigs upbeat
7,World,Democrats Discuss How to Reset Agenda (AP)
8,Business,No. 2 Internet service provider buying Classmates Online
9,Sci/tech,AMD chips edge ahead of Intel
10,Business,"Dow Up 22, Nasdaq Gains 9 on GDP Reading"
11,Sci/tech,IBM broadens suite of RFID services
12,Sci/tech,Reeves Says EBay May Cause Identity Theft (AP)
13,Business,Is Sears firing a prelude to buyout?
14,Business,Update 1: Ex-Enron Assistant Treasurer Is Charged
15,Sci/tech,NASA Hedges Bets on Hubble
16,World,Turkey's EU Bid Back on Course After Damaging Row (Reuters)
17,Sports,Kansas #39; defense key to loss against Texas Tech
18,Sci/tech,Pigeons Use Magnetic Particles To Navigate
19,World,Taiwan's Pro-Independence Parties Defeated (AP)
20,World,Putin flies to Chechnya for tribute to slain president
21,World,Stocks Mixed Ahead of Greenspan Testimony
22,Business,BP Posts Bumper Q3 Profits on Oil Price
23,Sports,Irish identify with must-win Huskies
24,Sci/tech,High-Tech Buildings May Save Energy (AP)
25,Sci/tech,Cisco teams up with Big Blue over network security
26,Sports,"One down, one to go for Sox in Anaheim: Seven-run 4th helps &lt;b&gt;...&lt;/b&gt;"
27,Sci/tech,Add 'Podcasts' To Your Tech Terms Playlist (Investor's Business Daily)
28,Sports,Kumble Wickets Give India Advantage Against Australia in Test
29,Sports,Chargers Sign TE Baber to One-Year Deal (AP)
30,World,Strong new earthquake hits Japan
31,World,Exiles: Iran Hides Secret Military Nuke Site from U.N.
32,World,Yasser Arafat  #39;very sick #39;
33,Sci/tech,Think Before You Ogo (The Motley Fool)
34,World,Earnings of Electronics Makers Improve (AP)
35,World,Nigeria general strike to proceed
36,Business,Washington Post #39;s Managing Editor to Quit So He Can Write
37,Sci/tech,Toutatis to whiz past Earth
38,Business,Krispy Kreme stock slump has investors bellyaching
39,World,"Russian Siege Sparks World Horror, Solidarity"
40,Business,"Oil Rises, Nears Record Above \$50 as US Production Curbed"
41,Sci/tech,British tycoon wants to fly you to space
42,Sci/tech,E-Voting to Face Major Test Tuesday
43,Business,Money Funds Rise in Latest Week (AP)
44,World,"Darfur rebels release aid workers held hostages, no word on 22 &lt;b&gt;...&lt;/b&gt;"
45,Business,Treasuries Up as Oil Nears Record Highs (Reuters)
46,Business,Gold surges as dollar falls again
47,Sci/tech,Those Brilliant Fall Outfits May Be Saving Trees
48,Business,Soros gives bigger role in his fund to 2 sons
49,Business,Federated #39;s 3Q beats Wall Street
50,Business,More petrol price rises feared
51,World,"Turkish Truck Driver, Iraqi Found Dead (AP)"
52,Sci/tech,Report: SBC Sets TV Deal with Microsoft (Reuters)
53,World,Violence sweeps northeastern India
54,World,Straw Speaks Out over Russian School Siege
55,World,Iran Again Warns Israel Against Attack (AP)
56,Business,Logan may benefit from fewer O'Hare flights
57,World,Iran will never conduct nuclear activities in hiding: FM
58,World,France Cautious About Purported Iraq Hostage Talks (Reuters)
59,Sports,Vikings Lucky to Have Tight End Wiggins (AP)
60,Sports,"Hewitt, Federer to clash for Cup"
61,Business,Dow Jones to Buy MarketWatch
62,Sci/tech,Microsoft-Sun: I can #39;t see me lovin #39; noboby but you
63,World,Japanese Leader Reshuffles Cabinet (AP)
64,World,Released Indian hostages return back home
65,Sports,Heat Hold Off Wizards
66,Sports,Tigers Squeak by Slumping White Sox 5-4 (AP)
67,Sci/tech,Nintendo handheld to feature wireless downloading
68,Sci/tech,"Zombie PCs spam, phish, harass on the sly (USATODAY.com)"
69,Business,Seoul enhancing ties with Latin America
70,Business,Japanese growth grinds to a halt
71,Sports,Rahal Letterman Racing signs Meira
72,World,Turks plan to outlaw adultery
73,Business,Dairy farmers request milk price hike
74,Sci/tech,Barcelona clubbers get chipped
75,Business,IBM unveils challenge to EMC
76,World,"Derrida, father of deconstruction, dies at 74"
77,World,Giants Match 2004 Win Total
78,Business,No Harmony for gold rivals
79,World,Two U.S. Soldiers Killed in Afghanistan
80,Sci/tech,Artifacts Found Near Texas Coast (AP)
81,World,Susilo unveils plans for first 100 days in power
82,World,Balkan states ready to increase participation in NATO operations (AFP)
83,Sports,Bruins bowl over November curse
84,Business,FTC asks court to halt a spyware operation
85,Business,Fannie Mae Whistle-Blower Won't Testify
86,Sci/tech,Infineon execs go to jail for DRAM price fixing
87,Sports,Astros launch into NLCS lead
88,Sports,Clippers' Brand Suspended One Game
89,Business,Global house prices still rising
90,Sci/tech,"Microsoft, Sun tout progress on interoperability"
91,Business,Blue Gene/L teraflops into supercomputing #39;s top spot
92,Business,Chip-Maker Posts Profitable Quarter
93,Business,DATA VIEW: Australian Economy Puts Brakes On In 3Q -2-
94,Sports,Fastest man rises from obscurity
95,Business,Can eBay Keep the Mojo Going?
96,Sci/tech,CSC inks \$1.35 billion deal
97,Sports,Biaggi fractures leg in practise
98,Business,Former NatWest bankers fear  #39;unfair trial #39; if extradited to US
99,Business,CCIA chief defends Microsoft payment
100,Sports,Tiger and Phil fail first test
101,Sci/tech,Scientists achieve new speed record on Internet2
102,World, #39;9/11 #39; PLOTS IN BRITAIN
103,Sci/tech,Microsoft Issues Internet Explorer Security Update
104,Business,Energy proposal pushes debate toward center
105,Business,Automakers Attack Proposal to Address Global Warming
106,Sports,No  quot;Abramovich route quot; to top in F1 - Minardi boss
107,Sports,Kasthari makes himself known
108,Business,A cost cutter takes over VW brand
109,Sports,Klitschko visits hospital but no bones broken
110,Business,Foodland shares placed on trading halt
111,Sports,It #39;s Game Day!
112,Sci/tech,"Toyota, Nissan Join to Standardize Car Electronics (Reuters)"
113,World,FCC Proposes \$1.2M Indecency Fine for Fox
114,Sci/tech,Wi-Fi gets ready for next-generation Net
115,Sports,Drug Test Sidelines Mutu for Seven Months
116,Business,"Aviva to move 7,000 jobs to Asia"
117,Business,CalPERS: Corporate Reformer Under Fire
118,Sports,Harrison Signs  #36;66M Deal With Colts (AP)
119,Sci/tech,Grand Theft Auto will outperform the rest of the industry
120,World,Milosevic Lawyer Faces Trial Obstacles
121,Sci/tech,Dell gets down to CE business
122,Sci/tech,Microsoft Recommends Throttling Back SUS For SP2
123,Business,Three-city hotel workers strike looms
124,World,Sharon Calls for Expansion of Israel's Gaza Offensive
125,Sports,"Bengals 23, Broncos 10"
126,Business,Traffic concerns jam Cape project
127,Business,Prescription For Trouble
128,Sports,Roundup: Penn State QB Mills may miss OSU game
129,World,Arab TV reports militants execute two Macedonian hostages in Iraq
130,Sci/tech,Bagle Headlines October Viruses
131,Sports,"Canada, US tie 1-1 at Four Nations Cup international women #39;s &lt;b&gt;...&lt;/b&gt;"
132,Sci/tech,"Gateway taps out photo, MP3 player beat"
133,Business,"Saks to close 11 stores, affecting 700 jobs"
134,Sci/tech,Microscopic Diamond Found in Montana (AP)
135,World,Use of Private Airport Screeners Easier (AP)
136,Business,FOCUS: Ericsson Market Share Gains Set To Continue
137,Sci/tech,One Way Link Building Secures Search Engine Ranking Results
138,Sports,Clarke eyeing first win
139,Sci/tech,"Choice rich, time poor"
140,Sci/tech,Is Microsoft Rattling the Linux-Patent Sabers?
141,Sci/tech,MSN music vs iTunes
142,Sci/tech,"Computer Loses 4,500 Votes"
143,Sports,Fed Express runs down Paradorn
144,World,Hurricane Ivan Pounds Jamaica
145,Sports,MAJOR LEAGUE BASEBALL: 22-0w
146,Sports,"Crowd Demands Services, Not Stadium"
147,Business,"BHP, Alcoa plan \$138m JV sale"
148,Business,Group protests naming center for Moreno
